,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
0,xpt_FKFK_nnlo,,,,,,,0.0000(50),0.0000(50),0.00000(18),0.00000(18),0.0(3.9),,
1,xpt_FKFK_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0.00000(20),0.00000(20),0.0(9.0),,0(64)
2,xpt_FKFK_nnlo_logSq,,,,,,,0.0000(50),0.0000(50),0.0(3.7),0.0(3.7),0.0(4.3),,
3,xpt_FKFK_nnlo_logSq_a4,,,,,,,0.0000(50),0.0000(50),0.00(74),0.00(74),0.0(8.6),,0(63)
4,xpt_FKFK_nnlo_log_logSq_sunset,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.000(36),0.000(36),0.0(3.6),,
5,xpt_FKFK_nnlo_log_logSq_sunset_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.000(26),0.000(26),0.0(3.6),,0.0(1.5)
6,xpt_FKFK_nnlo_log_logSq_sunset_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.000(17),0.000(17),0.0(3.4),,
7,xpt_FKFK_nnlo_log_logSq_sunset_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0000(62),0.0000(62),0.0(3.5),,0.0(1.6)
8,xpt_FKFK_nnlo_alphaS,,,,,,,0.0000(50),0.0000(50),0.0000(62),0.0000(62),0.0(3.3),0.0(3.3),
9,xpt_FKFK_nnlo_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.00000(38),0.00000(38),0.0(7.7),0.0(7.7),0(66)
10,xpt_FKFK_nnlo_logSq_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(3.7),0.0(3.7),0.0(3.6),0.0(3.6),
11,xpt_FKFK_nnlo_logSq_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.7),0.0(3.7),0.0(3.6),0.0(3.6),0.000(63)
12,xpt_FKFK_nnlo_log_logSq_sunset_alphaS,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.00(14),0.00(14),0.0(3.0),0.0(3.0),
13,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.000(38),0.000(38),0.0(3.0),0.0(3.0),0.0(1.3)
14,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.000(36),0.000(36),0.0(2.9),0.0(2.9),
15,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.000(24),0.000(24),0.0(2.9),0.0(2.9),0.000(36)
16,xpt_FKFK_nnlo_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.6),0.0(1.6),0.0(4.5),,
17,xpt_FKFK_nnlo_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.2)e-05,0.0(1.2)e-05,0.0(9.3),,0(63)
18,xpt_FKFK_nnlo_logSq_FV,,,,,,,0.0000(50),0.0000(50),0.0(6.0),0.0(6.0),0.0(5.3),,
19,xpt_FKFK_nnlo_logSq_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.4),0.0(5.4),0.0(6.3),,0(21)
20,xpt_FKFK_nnlo_log_logSq_sunset_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(1.4),0.0(1.4),0.0(4.5),,
21,xpt_FKFK_nnlo_log_logSq_sunset_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(1.4),0.0(1.4),0.0(4.5),,0.0(1.5)
22,xpt_FKFK_nnlo_log_logSq_sunset_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.3),0.0(2.3),0.0(4.5),,
23,xpt_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.3),0.0(2.3),0.0(4.6),,0.0(1.9)
24,xpt_FKFK_nnlo_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.6),0.0(1.6),0.0(3.8),0.0(3.8),
25,xpt_FKFK_nnlo_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(9.3)e-05,0.0(9.3)e-05,0.0(7.9),0.0(7.9),0(66)
26,xpt_FKFK_nnlo_logSq_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(6.0),0.0(6.0),0.0(4.4),0.0(4.4),
27,xpt_FKFK_nnlo_logSq_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.3),0.0(5.3),0.0(5.6),0.0(5.6),0(25)
28,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(1.4),0.0(1.4),0.0(3.8),0.0(3.8),
29,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(1.3),0.0(1.3),0.0(3.8),0.0(3.8),0.00(88)
30,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.3),0.0(2.3),0.0(3.8),0.0(3.8),
31,xpt_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.3),0.0(2.3),0.0(3.9),0.0(3.9),0.00(26)
32,xpt_FKFpi_nnlo,,,,,,,0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.0(3.1),,
33,xpt_FKFpi_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0.0(7.4),0.0(7.4),0(11),,0(98)
34,xpt_FKFpi_nnlo_logSq,,,,,,,0.0000(50),0.0000(50),0.0(1.1),0.0(1.1),0.0(3.7),,
35,xpt_FKFpi_nnlo_logSq_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.3),0.0(3.3),0.0(8.2),,0(62)
36,xpt_FKFpi_nnlo_log_logSq_sunset,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(2.8),0.0(2.8),0.0(2.9),,
37,xpt_FKFpi_nnlo_log_logSq_sunset_a4,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(2.8),0.0(2.8),0.0(2.9),,0.00(77)
38,xpt_FKFpi_nnlo_log_logSq_sunset_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(2.7),0.0(2.7),0.0(2.9),,
39,xpt_FKFpi_nnlo_log_logSq_sunset_a4_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(2.8),0.0(2.8),0.0(2.9),,0.00(59)
40,xpt_FKFpi_nnlo_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.0(2.7),0.0(2.7),
41,xpt_FKFpi_nnlo_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(7.4),0.0(7.4),0.0(9.0),0.0(9.0),0(101)
42,xpt_FKFpi_nnlo_logSq_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(1.1),0.0(1.1),0.0(3.1),0.0(3.1),
43,xpt_FKFpi_nnlo_logSq_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.3),0.0(3.3),0.0(7.0),0.0(7.0),0(64)
44,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(2.8),0.0(2.8),0.0(2.5),0.0(2.5),
45,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_a4,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(3.0),0.0(3.0),0.0(8.1),0.0(8.1),0(83)
46,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(2.7),0.0(2.7),0.0(2.5),0.0(2.5),
47,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(2.7),0.0(2.7),0.0(2.5),0.0(2.5),0.00(20)
48,xpt_FKFpi_nnlo_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(4.0),,
49,xpt_FKFpi_nnlo_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.3),0.0(5.3),0.0(9.8),,0(78)
50,xpt_FKFpi_nnlo_logSq_FV,,,,,,,0.0000(50),0.0000(50),0.0000(13),0.0000(13),0.0(4.2),,
51,xpt_FKFpi_nnlo_logSq_a4_FV,,,,,,,0.0000(50),0.0000(50),0.00000(38),0.00000(38),0.0(6.8),,0(34)
52,xpt_FKFpi_nnlo_log_logSq_sunset_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(1.8),0.0(1.8),0.0(3.7),,
53,xpt_FKFpi_nnlo_log_logSq_sunset_a4_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(2.6),0.0(2.6),0.0(8.9),,0(66)
54,xpt_FKFpi_nnlo_log_logSq_sunset_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.7),,
55,xpt_FKFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(1.6),0.0(1.6),0.0(3.7),,0.00(39)
56,xpt_FKFpi_nnlo_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(3.4),0.0(3.4),
57,xpt_FKFpi_nnlo_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.3),0.0(5.3),0.0(8.3),0.0(8.3),0(81)
58,xpt_FKFpi_nnlo_logSq_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0000(21),0.0000(21),0.0(3.5),0.0(3.5),
59,xpt_FKFpi_nnlo_logSq_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.00000(65),0.00000(65),0.0(5.8),0.0(5.8),0(36)
60,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.2),0.0(3.2),
61,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(1.8),0.0(1.8),0.0(3.2),0.0(3.2),0.00(29)
62,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.3),0.0(3.3),
63,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(1.6),0.0(1.6),0.0(3.2),0.0(3.2),0.00(29)
64,xpt_FpiFpi_nnlo,,,,,,,0.0000(50),0.0000(50),0.0(4.6),0.0(4.6),0.0(2.6),,
65,xpt_FpiFpi_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0.0(6.1),0.0(6.1),0.0(9.9),,0(92)
66,xpt_FpiFpi_nnlo_logSq,,,,,,,0.0000(50),0.0000(50),0.00(84),0.00(84),0.0(3.1),,
67,xpt_FpiFpi_nnlo_logSq_a4,,,,,,,0.0000(50),0.0000(50),0.00(84),0.00(84),0.0(3.1),,0.00(93)
68,xpt_FpiFpi_nnlo_log_logSq_sunset,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.00(73),0.00(73),0.0(2.5),,
69,xpt_FpiFpi_nnlo_log_logSq_sunset_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(1.0),0.0(1.0),0.0(2.6),,0.00(10)
70,xpt_FpiFpi_nnlo_log_logSq_sunset_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.7),0.0(2.7),0.0(2.5),,
71,xpt_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(8.5),,0(74)
72,xpt_FpiFpi_nnlo_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(4.6),0.0(4.6),0.0(2.2),0.0(2.2),
73,xpt_FpiFpi_nnlo_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(6.1),0.0(6.1),0.0(8.4),0.0(8.4),0(94)
74,xpt_FpiFpi_nnlo_logSq_alphaS,,,,,,,0.0000(50),0.0000(50),0.00(82),0.00(82),0.0(2.6),0.0(2.6),
75,xpt_FpiFpi_nnlo_logSq_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.00(82),0.00(82),0.0(2.6),0.0(2.6),0.00(13)
76,xpt_FpiFpi_nnlo_log_logSq_sunset_alphaS,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.00(47),0.00(47),0.0(2.2),0.0(2.2),
77,xpt_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(3.6),0.0(3.6),0.0(7.5),0.0(7.5),0(78)
78,xpt_FpiFpi_nnlo_log_logSq_sunset_alphaS_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.5),0.0(2.5),0.0(2.2),0.0(2.2),
79,xpt_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.6),0.0(2.6),0.0(2.2),0.0(2.2),0.000(12)
80,xpt_FpiFpi_nnlo_FV,,,,,,,0.0000(50),0.0000(50),0.0(2.9),0.0(2.9),0.0(3.4),,
81,xpt_FpiFpi_nnlo_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(4.2),0.0(4.2),0.0(8.5),,0(66)
82,xpt_FpiFpi_nnlo_logSq_FV,,,,,,,0.0000(50),0.0000(50),0.00000(58),0.00000(58),0.0(3.5),,
83,xpt_FpiFpi_nnlo_logSq_a4_FV,,,,,,,0.0000(50),0.0000(50),0.00000(53),0.00000(53),0.0(5.1),,0(21)
84,xpt_FpiFpi_nnlo_log_logSq_sunset_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.000(52),0.000(52),0.0(3.2),,
85,xpt_FpiFpi_nnlo_log_logSq_sunset_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0(30),,0(40)
86,xpt_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(1.5),0.0(1.5),0.0(3.2),,
87,xpt_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.3),0.0(2.3),0.0(7.2),,0(58)
88,xpt_FpiFpi_nnlo_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(2.9),0.0(2.9),0.0(2.9),0.0(2.9),
89,xpt_FpiFpi_nnlo_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(4.2),0.0(4.2),0.0(7.2),0.0(7.2),0(68)
90,xpt_FpiFpi_nnlo_logSq_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.00000(20),0.00000(20),0.0(3.0),0.0(3.0),
91,xpt_FpiFpi_nnlo_logSq_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0000(29),0.0000(29),0.0(4.4),0.0(4.4),0(23)
92,xpt_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.000(44),0.000(44),0.0(2.8),0.0(2.8),
93,xpt_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(3.0),0.0(3.0),0.0(6.7),0.0(6.7),0(61)
94,xpt_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(1.5),0.0(1.5),0.0(2.8),0.0(2.8),
95,xpt_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(1.5),0.0(1.5),0.0(2.7),0.0(2.7),0.00(46)
96,xpt_FKFK_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0.0(1.0),0.0(1.0),0.0(3.8),,
97,xpt_FKFK_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0.0(1.0),0.0(1.0),0.0(3.9),,0.0(1.4)
98,xpt_FKFK_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0.00(97),0.00(97),0.0(3.2),0.0(3.2),
99,xpt_FKFK_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(1.0),0.0(1.0),0.0(3.2),0.0(3.2),0.000(32)
100,xpt_FKFK_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(4.7),,
101,xpt_FKFK_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(4.7),,0.0(2.2)
102,xpt_FKFK_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(4.0),0.0(4.0),
103,xpt_FKFK_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.3),0.0(3.3),0.0(4.0),0.0(4.0),0.0(1.6)
104,xpt_FKFpi_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0.0(3.9),0.0(3.9),0.0(3.2),,
105,xpt_FKFpi_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0(10),0(10),0(12),,0(65)
106,xpt_FKFpi_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(3.9),0.0(3.9),0.0(2.8),0.0(2.8),
107,xpt_FKFpi_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(6.2),0.0(6.2),0.0(8.0),0.0(8.0),0(83)
108,xpt_FKFpi_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.8),0.0(1.8),0.0(4.1),,
109,xpt_FKFpi_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.8),0.0(1.8),0.0(4.1),,0.00(74)
110,xpt_FKFpi_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.5),0.0(3.5),
111,xpt_FKFpi_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.5),0.0(3.5),0.00(44)
112,xpt_FpiFpi_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0.0(3.5),0.0(3.5),0.0(2.7),,
113,xpt_FpiFpi_nnlo_logSq_sunset_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.4),0.0(3.4),0.0(2.7),,0.00(12)
114,xpt_FpiFpi_nnlo_logSq_sunset_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(3.4),0.0(3.4),0.0(2.3),0.0(2.3),
115,xpt_FpiFpi_nnlo_logSq_sunset_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(4.9),0.0(4.9),0.0(7.7),0.0(7.7),0(80)
116,xpt_FpiFpi_nnlo_logSq_sunset_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.4),,
117,xpt_FpiFpi_nnlo_logSq_sunset_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.4),,0.00(23)
118,xpt_FpiFpi_nnlo_logSq_sunset_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(2.9),0.0(2.9),
119,xpt_FpiFpi_nnlo_logSq_sunset_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(2.9),0.0(2.9),0.00(12)
