,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol corr,L_4,L_5,A_a,A_k,A_p,A_loga
0,ma_F0F0_nnlo,1.1703(51),-0.00353(69),55.0869954,0.715526116,0.780998062,0,,-0.00158(61),2.93(63),5.8(2.1),-2.1(1.1),
1,ma_F0F0_nnlo_logSq,1.1753(51),-0.00367(69),54.4988864,0.834193862,0.647229573,0,,-0.00193(63),2.78(63),5.3(2.2),-1.5(1.2),
2,ma_F0F0_nnlo_alphaS,1.1712(60),-0.00356(69),54.93558952,0.710286814,0.786441768,0,,-0.00158(61),2.1(2.8),5.8(2.1),-2.1(1.1),1.2(4.2)
3,ma_F0F0_nnlo_alphaS_logSq,1.1762(61),-0.00370(70),54.34888747,0.829292849,0.653020178,0,,-0.00193(63),2.0(2.8),5.3(2.2),-1.5(1.2),1.2(4.2)
4,ma_F0F0_nnlo_FV,1.1706(46),-0.00354(68),57.69855469,0.521613362,0.937898277,10,,-0.00136(56),2.65(58),5.0(1.9),-1.7(1.0),
5,ma_F0F0_nnlo_FV_logSq,1.1766(43),-0.00371(69),58.81085774,0.54666018,0.923482256,10,,-0.00152(53),2.38(54),3.8(1.8),-0.72(98),
6,ma_F0F0_nnlo_FV_alphaS,1.1715(57),-0.00356(69),57.54343489,0.517316898,0.940186455,10,,-0.00135(56),1.9(2.8),5.0(1.9),-1.7(1.0),1.1(4.2)
7,ma_F0F0_nnlo_FV_alphaS_logSq,1.1774(55),-0.00373(69),58.66488738,0.542609315,0.925938773,10,,-0.00151(53),1.7(2.8),3.8(1.8),-0.72(99),1.1(4.2)
8,ma-ratio_F0F0_nnlo,1.1698(79),-0.00352(71),56.16869523,0.625721775,0.866024544,0,0.0018(44),-0.0010(11),1.2(1.3),4.6(1.8),-3.3(1.5),
9,ma-ratio_F0F0_nnlo_logSq,1.1726(76),-0.00360(71),55.831281,0.70557894,0.791288442,0,0.0025(45),-0.0015(10),0.8(1.0),3.9(1.9),-3.0(1.5),
10,ma-ratio_F0F0_nnlo_alphaS,1.1702(88),-0.00353(72),55.9940306,0.625077134,0.866563868,0,0.0018(44),-0.0010(11),0.9(2.9),4.6(1.9),-3.3(1.5),0.4(4.2)
11,ma-ratio_F0F0_nnlo_alphaS_logSq,1.1728(85),-0.00360(71),55.65187453,0.70539702,0.791474857,0,0.0025(45),-0.0015(10),0.7(2.9),3.9(1.9),-3.0(1.5),0.2(4.2)
12,ma-ratio_F0F0_nnlo_FV,1.1723(71),-0.00359(70),57.64031676,0.505610624,0.946148824,10,0.0005(34),-0.00097(96),1.5(1.4),4.3(1.9),-2.6(1.5),
13,ma-ratio_F0F0_nnlo_FV_logSq,1.1777(63),-0.00374(70),57.42583794,0.517762887,0.939951437,10,-0.0006(11),-0.00152(65),1.58(49),3.9(2.0),-1.1(1.4),
14,ma-ratio_F0F0_nnlo_FV_alphaS,1.1729(82),-0.00360(71),57.46290282,0.504319982,0.94678196,10,0.0004(34),-0.00098(96),1.1(2.9),4.3(1.9),-2.5(1.5),0.6(4.2)
15,ma-ratio_F0F0_nnlo_FV_alphaS_logSq,1.1783(73),-0.00376(71),57.27069372,0.516209266,0.94076763,10,-0.0006(11),-0.00151(65),1.2(2.8),3.9(2.0),-1.1(1.4),0.7(4.2)
16,xpt_F0F0_nnlo,1.1659(53),-0.00341(68),53.57783283,0.91258585,0.554004916,0,,-0.00173(68),-0.72(64),6.1(2.4),-1.5(1.2),
17,xpt_F0F0_nnlo_logSq,1.1680(65),-0.00347(69),48.17465891,1.280713498,0.198898092,0,,-0.00271(83),-0.51(78),7.8(2.9),-2.0(1.5),
18,xpt_F0F0_nnlo_alphaS,1.1655(62),-0.00340(69),53.40297261,0.91170527,0.555048167,0,,-0.00173(68),-0.4(2.8),6.1(2.4),-1.5(1.2),-0.5(4.2)
19,xpt_F0F0_nnlo_alphaS_logSq,1.1677(72),-0.00346(70),48.00658993,1.279963238,0.199399769,0,,-0.00271(83),-0.2(2.8),7.8(2.9),-2.0(1.5),-0.5(4.2)
20,xpt_F0F0_nnlo_FV,1.1697(37),-0.00351(68),62.14095703,0.363919222,0.989899953,10,,-0.00093(45),-1.50(44),3.3(1.6),-0.06(82),
21,xpt_F0F0_nnlo_FV_logSq,1.1731(43),-0.00361(68),58.14140508,0.720233364,0.776063547,10,,-0.00157(57),-1.45(51),3.8(2.0),0.05(1.02),
22,xpt_F0F0_nnlo_FV_alphaS,1.1692(51),-0.00350(68),61.94822562,0.362551408,0.990107744,10,,-0.00094(46),-1.1(2.8),3.3(1.6),-0.06(83),-0.6(4.1)
23,xpt_F0F0_nnlo_FV_alphaS_logSq,1.1726(55),-0.00359(69),57.95339211,0.718446518,0.777941446,10,,-0.00158(57),-1.0(2.8),3.8(2.0),0.05(1.02),-0.7(4.1)
24,xpt-ratio_F0F0_nnlo,1.1620(67),-0.00330(69),54.35115479,0.743980615,0.750582575,0,0.0037(41),-0.0013(13),-0.53(70),5.2(2.1),-3.7(1.8),
25,xpt-ratio_F0F0_nnlo_logSq,1.1638(72),-0.00335(70),52.29145373,0.889452643,0.581491401,0,0.0049(44),-0.0024(14),-0.44(78),5.1(2.2),-4.1(1.8),
26,xpt-ratio_F0F0_nnlo_alphaS,1.1616(74),-0.00329(70),54.18785837,0.742951054,0.751706412,0,0.0037(41),-0.0013(13),-0.2(2.8),5.2(2.1),-3.7(1.8),-0.5(4.2)
27,xpt-ratio_F0F0_nnlo_alphaS_logSq,1.1634(78),-0.00334(70),52.13297763,0.888447139,0.582688929,0,0.0049(44),-0.0024(14),-0.1(2.8),5.1(2.2),-4.1(1.8),-0.5(4.2)
28,xpt-ratio_F0F0_nnlo_FV,1.1718(48),-0.00357(69),60.94619725,0.283617999,0.997614925,10,-0.00169(37),-0.00112(38),-1.82(51),3.6(1.7),1.2(1.2),
29,xpt-ratio_F0F0_nnlo_FV_logSq,1.1724(53),-0.00359(69),58.22628423,0.47112726,0.961445572,10,-0.00139(31),-0.00181(47),-1.69(55),4.7(1.8),1.2(1.1),
30,xpt-ratio_F0F0_nnlo_FV_alphaS,1.1713(60),-0.00356(69),60.76499183,0.282242494,0.997684031,10,-0.00169(37),-0.00113(38),-1.4(2.8),3.6(1.7),1.2(1.2),-0.6(4.1)
31,xpt-ratio_F0F0_nnlo_FV_alphaS_logSq,1.1718(63),-0.00357(69),58.04832734,0.469172358,0.962213997,10,-0.00138(31),-0.00182(47),-1.2(2.8),4.7(1.8),1.2(1.1),-0.7(4.1)
